paper_id,title,year,doi,C1_decision,C1_EC_code,C1_reason
130,The Pandemic's Toll on Young Adolescents: Prevention and Intervention Targets to Preserve Their Mental Health.,2022,10.1016/j.jadohealth.2021.11.023,INCLUDE,,"Kiss 2022 J Adolesc Health -- XGBoost classifier of pandemic mental health outcomes in n~3,000 ABCD adolescents. The 240-feature input set included multiple ABCD COVID-19 Youth Survey screen-time items (texting, social media time, video chat, etc.); all were analyzed by the model with the same rigor and assigned SHAP feature-importance values. In the depression Survey 1 model (Fig 4B), 'texting on a cell phone, tablet, computer' surfaces as a top-20 predictor with mean |SHAP| = 0.07 (more texting -> higher predicted probability of clinically elevated depressive symptoms)."
132,Adherence to 24-Hour Movement Recommendations and Health Indicators in Early Adolescence: Cross-Sectional and Longitudinal Associations in the Adolescent Brain Cognitive Development Study.,2023,10.1016/j.jadohealth.2022.10.019,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific numeric estimate found anywhere. All results use composite 24-hour movement behavior categories (e.g., Sleep Only, Screen Time Only, Sleep & Screen Time, All). Step 2: The screen time composite is derived from the ABCD Youth Screen Time Survey covering six activities: internet browsing, texting, video chatting, social media use, single player video games, and..."
133,Screen Time and Obsessive-Compulsive Disorder Among Children 9-10 Years Old: A Prospective Cohort Study.,2023,10.1016/j.jadohealth.2022.10.023,INCLUDE,,"Step 1 hit: Table 3 (Model 3) reports adjusted OR for ""Social networking"" = 1.07 (95% CI 0.83-1.39) and for ""Texting"" = 1.20 (95% CI 1.00-1.44) paired with OCD (individual-trait psychiatric outcome). More clearly, ""Videos (YouTube)"" aOR 1.11 (p=.038) and ""Video games"" aOR 1.15 (p=.015) also reported as named modalities."
135,"Risk Assessment of Maladaptive Behaviors in Adolescents: Nutrition, Screen Time, Prenatal Exposure, Childhood Adversities - Adolescent Brain Cognitive Development Study.",2025,10.1016/j.jadohealth.2023.08.033,EXCLUDE,FT-EC2,"Step 1: No numeric estimate in any results location where the variable label is phone/SM-specific (e.g., time on phone, time on SM, texting, video chat) paired with an individual-trait outcome. Screen time (weekday and weekend) appears only as one component within the Factor 5 composite."
136,"Examining the Bidirectional Associations Between Sleep Duration, Screen Time, and Internalizing Symptoms in the ABCD Study.",2024,10.1016/j.jadohealth.2023.09.001,INCLUDE,,"Zink 2024 J Adolesc Health -- bidirectional longitudinal analysis of sleep duration, screen time, and internalizing symptoms in ABCD (N=10,828, baseline ages 9-10, one-year follow-up). Headline analyses (Tables 3-4) use total screen time composite (TV + YouTube + videogames + texting + video chatting + SNS, dichotomized at 2hr/day) -- would fail Step 2 alone."
139,Bedtime Screen Use Behaviors and Sleep Outcomes in Early Adolescents: A Prospective Cohort Study.,2024,10.1016/j.jadohealth.2024.06.006,INCLUDE,,"Step 1 hit: Table 3 reports separate regression estimates for 'Talk on the phone or text' as IV predicting sleep duration (B=-0.17, 95%CI:-0.22,-0.12, p<.001) and sleep disturbance (OR=1.13, 95%CI:1.05-1.23, p=.002), and 'Spend time online on social media' predicting sleep duration (B=-0.21, 95%CI:-0.26,-0.16, p<.001) and sleep disturbance (OR=1.10, 95%CI:1.01-1.20, p=.025)."
140,Longitudinal Use Patterns of Technology Subtypes During the Transition Into Early Adolescence: Results From the Adolescent Brain Cognitive Development Study.,2024,10.1016/j.jadohealth.2024.06.020,EXCLUDE,FT-EC2,"Step 1: Phone/SM-specific variables are present as DVs: social media hrs/day, texting hrs/day, video chat hrs/day are qualifying SM/phone variables. Table 2 reports ORs for predictors of >2 hrs/day use. However, all predictors (the other side) are exclusively demographic: biological sex (female vs."
141,Sociodemographic Correlates of Contemporary Screen Time Use among 9- and 10-Year-Old Children.,2022,10.1016/j.jpeds.2021.08.077,EXCLUDE,FT-EC2,"Step 1: Social networking, texting, and video chat are analyzed as DVs (hours/day) with sex, race/ethnicity, country of birth, household income, and parental education as IVs. Although SM/phone-specific variables (social networking, texting, video chat) appear with their own regression coefficients, the other side of every analysis is entirely demographic-only (sex, race/ethnicity, household..."
143,"Cyberbullying, mental health, and substance use experimentation among early adolescents: a prospective cohort study.",2025,10.1016/j.lana.2025.101002,EXCLUDE,FT-EC2,"Step 1: The sole exposure variable is cyberbullying victimization (single-item referencing texts, group texts, and social media like Instagram or Snapchat). No separate phone/SM-specific variable (time on phone, SM platform use, SMAQ, MPIQ, app use, etc.) appears as IV or DV with its own reported coefficient anywhere in the main tables, supplementary tables, or sensitivity analyses."
144,Associations of adolescent social media use trajectories with spatial and verbal memory: a prospective cohort study.,2026,10.1016/j.lana.2026.101454,INCLUDE,,"Step 1 hit: Social media time (hours/day on Instagram, Facebook, Twitter) from the ABCD Youth Screen Time Survey is the IV, with regression B coefficients in Table 2 (e.g., high increasing SM trajectory: B=-1.90, 95% CI: -2.76, -1.04 for RAVLT Initial Trials; B=-0.03, 95% CI: -0.05, -0.01 for LMT accuracy) paired with cognitive performance outcomes (RAVLT, LMT), which are individual-trait-level."
146,Screen media activity and brain structure in youth: Evidence for diverse structural correlation networks from the ABCD study.,2019,10.1016/j.neuroimage.2018.10.040,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable with its own coefficient appears in any table or figure. The SMA measure is a total composite score (hours/week) summing all 7 activities: (1) TV/movies, (2) YouTube videos, (3) video games on computer/console/phone/other device, (4) texting, (5) social networking sites, (6) video chat, (7) mature-rated games, (8) R-rated movies."
149,Connectome-based prediction of problematic use of social media in adolescents: Findings from the ABCD study.,2026,10.1016/j.neuroimage.2026.121829,EXCLUDE,FT-EC7,All three EC7 conditions hold: (a) longitudinal design -- baseline fMRI (ages 9-10) predicts SMAQ at 4-year follow-up; (b) SMAQ/SM is the DV in every analysis -- CPM predicts SMAQ severity from brain connectivity; (c) no analysis anywhere uses SMAQ or SM as IV predicting an outcome. No cross-sectional SM-as-DV analysis exists to trigger the carve-out. Paper is excluded under FT-EC7.
150,Social media use and early adolescent brain structure: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,2026,10.1016/j.neuroimage.2026.121860,INCLUDE,,"Step 1: Social media use (hours per day, named platforms Instagram/Facebook/Twitter) is the IV in all main analyses, paired with brain morphology (cortical thickness, surface area, volume -- individual-trait neural outcomes) as DV. Numeric estimates present throughout, e.g., 100x standardized B = -1.916, SE = 0.931, p = 0.040 for right hemisphere cortical volume;"
152,COVID information and masking behaviors in U.S. adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,2022,10.1016/j.pmedr.2022.101900,INCLUDE,,"Step 1 hit: Checking COVID-related social media activity (Facebook, Twitter, Instagram, TikTok, Snapchat) is measured as IV with its own adjusted risk ratio (ARR 1.09, 95% CI 1.00-1.19, p=0.049) predicting always-masking behavior. Masking behavior is a health behavior (individual-trait-level). Social media variable is SM-specific (named platforms listed)."
153,Identification and characterization of screen use trajectories from late childhood to adolescence in a US-population based cohort study.,2023,10.1016/j.pmedr.2023.102428,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable has its own separate numeric estimate anywhere in the paper. All analyses use a single composite total screen use variable. Step 2: The composite is defined as 'the sum of self-reported hours of daily use of television, videos, video games, social media, video chat, and texting' (Methods)."
154,"Adolescent smartphone use, sleep, and physical activity: daily associations between sensor-based measures in the adolescent brain cognitive development (ABCD) study",2025,10.1016/j.psychres.2025.116523,INCLUDE,,"Step 1 hit: Table 3 reports standardized β estimates for minutes of smartphone application use (6AM-7:59PM, 8PM-9:59PM, 10PM-5:59AM) and keyboard use as IVs against individual-trait-level health outcomes (total sleep, sleep onset, wake time, daily steps, sedentary minutes, exercise minutes). Example: daytime app use -> total steps β std = -0.209, P<0.001;"
156,Screen media use and sleep disturbance symptom severity in children.,2020,10.1016/j.sleh.2020.07.002,INCLUDE,,"Step 1 hit: Tables 2 and 3 report separate mean-difference estimates for weekday and weekend social media use (>=2 hrs vs. <2 hrs) paired with individual-trait sleep outcomes. Table 2: social media use weekday, d=-0.28 for sleep duration, d=0.19 for insomnia, d=0.12 for total sleep-wake disturbances. Table 4: relative risk of insufficient sleep for >=2 hrs weekday social media use = 1.56;"
157,Bedtime screen use behaviors and sleep outcomes: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,2023,10.1016/j.sleh.2023.02.005,INCLUDE,,"Step 1 hit: Table 3 reports adjusted risk ratios for qualifying phone/SM-specific variables paired with sleep (individual-trait health outcome): ""Talk on the phone or text"" ARR 1.16 (95% CI 1.09-1.23, p<.001) for trouble falling/staying asleep and ARR 1.09 (95% CI 1.04-1.13, p<.001) for sleep disturbance;"
158,Social epidemiology of bedtime screen use behaviors and sleep outcomes in early adolescence.,2025,10.1016/j.sleh.2025.05.005,INCLUDE,,"Step 1 hit: Table 4 and Table 5 report separate coefficients for phone/SM-specific bedtime modalities paired with individual-trait-level sleep outcomes. Specifically, 'Talk on the phone or text' has OR=1.11 (95% CI 1.05-1.18, p=.001) for sleep disturbance and B=-0.20 (95% CI -0.24 to -0.15, p<.001) for sleep duration;"
160,Screen time and suicidal behaviors among U.S. children 9-11 years old: A prospective cohort study.,2023,10.1016/j.ypmed.2023.107452,INCLUDE,,"Step 1 hit: Table 2 reports separate adjusted ORs for texting (aOR 1.36, 95% CI 1.06-1.74, p=0.014) and video chat (aOR 1.30, 95% CI 1.03-1.65, p=0.028) as IVs predicting suicidal behaviors (KSADS-5 clinical outcome) at 2-year follow-up. Both texting and video chat are qualifying phone/SM-specific variables. Suicidal behaviors (psychiatric clinical diagnosis) is an individual-trait-level outcome."
162,Risk and protective factors for childhood suicidality: a US population-based study,2020,10.1016/S2215-0366(20)30049-3,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific estimate exists anywhere in the paper. The screen time variables are 'Screen time during weekdays (h per day)' and 'Screen time during weekends (h per day)' -- no named SM platform, no phone-specific time, no texting, no SMAQ/MPIQ, no app-use variable reported with its own coefficient. Step 2: The composite screen time measure bundles multi-device/activity use."
164,Associations between 24-hour movement behaviours and global cognition in a cross-sectional sample of US children,2018,10.1016/S2352-4642(18)30278-5,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific numeric estimate found in any results location. The exposure variable is total recreational screen time (Youth Screen Time Survey), and regression results report guideline-adherence categories (e.g., 'Guidelines met: screen only' beta=4.25, 'Guidelines met: screen + sleep' beta=5.15) -- these are composite screen-time guideline adherence flags, not phone/SM-specific..."
166,"Demographic, psychological, behavioral, and cognitive correlates of BMI in youth: Findings from the Adolescent Brain Cognitive Development (ABCD) study.",2020,10.1017/s0033291719001545,EXCLUDE,FT-EC2,"Step 1: searched all results locations (Figs 1-3 LASSO/elastic-net coefficients, full-sample linear regression, sex-stratified models, Hispanic and Black non-Hispanic subsamples). The only screen-time variable in every analysis is defined as 'average minutes per week a child typically spends on a computer, cellphone, tablet, or other electronic device' -- a single multi-device aggregate with no..."
167,The role of smartphones in adolescent-parent discrepancy in reporting adolescents' internalizing problems.,2025,10.1017/s0954579425100618,INCLUDE,,"Step 1: Smartphone ownership age (age of first smartphone) is the key phone variable. Table 3 and Table 4 report multi-level model coefficients for smartphone ownership groups (8&under, 9&10, 11&12, 13&14) predicting youth- and parent-reported internalizing problems (anxiety/depression measured via CBCL and BPM)."
168,"Screen time, problematic media use, and clinical concerns in the ABCD Study: Differences by sex and race/ethnicity.",2025,10.1017/s0954579425100655,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable with its own coefficient found anywhere in the paper. The screen media use measure is a multi-device aggregate: parents/youth report total time on 'a computer, cell phone, tablet, iPod, or other electronic device' as a single summed quantity -- no per-device breakout."
172,Evaluating hypothetical prevention strategies for internalizing symptoms in the general population and at-risk children.,2025,10.1037/ccp0000912,EXCLUDE,FT-EC2,"Step 1: No numeric estimate with a phone/SM-specific variable label found anywhere in the paper. The exposure throughout is undifferentiated ""recreational screen time"" (ST) measured as total daily hours of recreational screen use by parent report, with no breakdown by device or platform."
175,Youth electronic media use and family conflict: Bidirectional associations across early adolescence.,2025,10.1037/fam0001390,INCLUDE,,"Step 1: Social EMU is defined in methods (p.1029) as a composite of 'social media + texting' -- exclusively phone/SM/digital-socializing items. Crosslagged path coefficients for social EMU <-> family conflict are reported in Figures 3 and 4 (for boys and girls separately) and in results text. Example: girls social EMU T1 -> family conflict T2: b=-0.59, beta=-0.18, SE=0.02, p<.001."
176,Longitudinal relationships between lifestyle risk factors and neurodevelopment in early adolescence.,2023,10.1037/hea0001248,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific numeric estimate found anywhere in the paper. Screen time enters only as one of four indicators loading onto a single latent 'lifestyle risk factor' domain (alongside sleep, physical activity, and BMI); no separate screen-time coefficient is reported in any table, supplementary material, or sensitivity analysis."
177,Effects of the COVID-19 pandemic on screen time and sleep in early adolescents.,2023,10.1037/hea0001251,INCLUDE,,"Step 1 finds qualifying estimates. The paper separates screen time into two distinct variables: 'time spent on social media platforms' and 'single player video game time.' Social media use is an IV with its own numeric estimates across multiple sleep outcomes: time in bed (chi2=114.56, p<.01; simple slopesPre-pandemic=-0.24 through March=-0.12 all p<.01); bedtime (chi2=456.52, p<.01;"
178,Leveraging the adolescent brain cognitive development study to advance and promote adolescent health: Introduction to the special issue.,2023,10.1037/hea0001351,EXCLUDE,FT-EC3,This is an editorial introduction to a special issue of Health Psychology. It describes and summarizes other empirical papers in the issue but contains no original empirical analysis of ABCD data.
179,One-year predictions of delayed reward discounting in the adolescent brain cognitive development study.,2022,10.1037/pha0000532,EXCLUDE,FT-EC2,"Screen time is defined as 'the weekly average hours a child typically spends on a computer, cellphone, tablet, or other electronic device' (p.17) -- a multi-device aggregated composite that includes TV shows/movies, videos, gaming, texting, social networking, and video chat on any device."
181,Prospective associations of sleep duration and screen time with transition from overweight/obesity to normal BMI in U.S. adolescents.,2025,10.1038/s41366-025-01980-6,EXCLUDE,FT-EC2,"Step 1: The only screen-time variable analyzed is 'total screen time (hours/day)' -- no numeric estimate exists where the variable label is phone/SM-specific (texting, social media, video chat, time on phone, named platform, etc.) paired with an individual-trait outcome."
183,Social epidemiology of early adolescent problematic screen use in the United States.,2022,10.1038/s41390-022-02176-8,EXCLUDE,FT-EC2,"Step 1: Three DVs analyzed: VGAQ (Video Game Addiction Questionnaire), SMAQ (Social Media Addiction Questionnaire), and MPIQ (Mobile Phone Involvement Questionnaire). Per binding clarification, SMAQ and MPIQ are SM/phone variables, not individual-trait outcomes on the other side."
184,Associations between media parenting practices and early adolescent screen use.,2025,10.1038/s41390-024-03243-y,INCLUDE,,"Step 1 hit: Table 3 reports separate regression coefficients for media parenting practices (IV) predicting problematic social media use (SMAQ; DV) and problematic mobile phone use (MPIQ; DV). For example, parental bedroom screen use predicts SMAQ: B=1.91 (95% CI 1.71-2.11, p<0.001); parental limiting of screen time predicts SMAQ: B=-1.58 (95% CI -1.83 to -1.34, p<0.001);"
185,Generalizable prediction of childhood ADHD symptoms from neurocognitive testing and youth characteristics.,2023,10.1038/s41398-023-02502-6,EXCLUDE,FT-EC2,"Step 1: 'Weekday screen time' and 'weekend screen time' appear as named predictor features with their own feature weights in PCR/LASSO models (Fig. 3, Fig. 4). However, these are described in Methods as 'Children's estimates of their time spent engaged in screen media on typical weekdays and weekend days ..."
186,Neural correlates differ between crystallized and fluid intelligence in adolescents.,2025,10.1038/s41398-025-03467-4,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable with its own coefficient found in any results location. The only screen variable is a single-item generic ""screen use"" (average hours/day of screen use from ABCD Screen Time Questionnaire); label is not phone/SM-specific."
187,Association of screen time with attention-deficit/hyperactivity disorder symptoms and their development: the mediating role of brain structure.,2025,10.1038/s41398-025-03672-1,EXCLUDE,FT-EC2,"Step 1: No separate phone/SM-specific numeric estimate found anywhere in the paper. All results (Table S2, Table S3, Figure 1-4) use a single aggregated ""screen time"" variable. Step 2 composite check: Methods explicitly state screen time was ""calculated as the total time spent using various devices, including playing video games and watching television."" This composite bundles TV/videos and video..."
190,The impact of digital media on children's intelligence while controlling for genetic differences in cognition and socioeconomic background.,2022,10.1038/s41598-022-11341-2,INCLUDE,,"Step 1 hit: 'Socializing' (defined as texting + video chat + social networking sites -- phone/SM-specific composite) has its own coefficient paired with intelligence (individual-trait). Baseline: r = -0.10, p < 0.001; longitudinal latent change model: β = -0.07, p = 0.220 (n.s.) but β = -0.10, p < 0.001 on baseline intelligence."
192,Long-term impact of digital media on brain development in children,2024,10.1038/s41598-024-63566-y,INCLUDE,,"Step 1 hit: Table 2 reports β coefficients for 'Social media usage' (h/day from YSTS) paired with cerebellum volume (neural outcome): Social media usage x Time β = 0.02 (p < 0.001), Social media usage x Time^2 β = -0.02 (p < 0.001). Social media usage is a named SM-specific variable; cerebellum volume is a neural individual-trait outcome."
193,Passively sensing smartphone use in teens with rates of use by sex and across operating systems.,2024,10.1038/s41598-024-68467-8,EXCLUDE,FT-EC2,"Step 1: Phone/SM-specific variables are present (passive app use, keystrokes, social apps = texting + video chatting + social media, self-reported smartphone use). However, the other side of every analysis is exclusively demographic or contextual: biological sex (t-tests: females > males, t=6.9, p<0.001), race/ethnicity, household income, parental education, operating system."
194,Neurocognitive and brain structure correlates of reading and television habits in early adolescence.,2025,10.1038/s41598-025-88398-2,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable found in any results location. The paper examines only (a) daily pleasurable reading hours and (b) daily television viewing hours as IVs. Neither is a phone/SM-specific variable. No texting, social media time, named SM platform, app use, smartphone ownership, or any other phone/SM measure appears in any table or analysis."
195,Examining measurement discrepancies in adolescent screen media activity with insights from the ABCD study.,2025,10.1038/s44184-025-00131-z,INCLUDE,,"Step 1 hit: EARS-logged social media use (passively sensed smartphone app time, a phone/SM-specific variable) is paired with externalizing symptoms (individual-trait behavioral outcome) with β=0.07 (95% CI: 0.03-0.12, p=0.002) and internalizing symptoms β=0.05 (95% CI: 0.01-0.09, p=0.028 for self-reported social media; Fig. 3 / Results section)."
196,Probing the digital exposome: associations of social media use patterns with youth mental health.,2024,10.1038/s44277-024-00006-9,INCLUDE,,"Step 1 hit: paper tests numerous phone/SM-specific variables as IVs with individual-trait mental health outcomes as DVs. Named-platform screentime variables (TikTok, Instagram, Snapchat, YouTube, Reddit, Twitter, Tumblr) and addictive SM use scale items each receive individual ExWAS LME coefficients against BPM Total Problems T-scores (e.g., addictive social media use coefficient shown in Fig."
202,"ACEs, Problematic Social Media Use, and Emotional/Behavioral Dysregulation Among ABCD",2025,10.1080/01612840.2025.2559062,EXCLUDE,FT-EC7,"All three EC7 conditions hold: (a) longitudinal design -- ACEs measured at Y1 predicting PSMU at Y3; (b) PSMU/SMAQ is the DV in every analysis (main model and all moderation models); (c) no analysis anywhere in the paper uses SM/PSMU as IV. No cross-sectional analysis with SM as DV was found in main text, tables, or supplements, so the cross-sectional carve-out does not apply."
205,Pet Ownership and Family Involvement in Sports and Other Activities.,2024,10.1080/08927936.2024.2406097,EXCLUDE,FT-EC2,"Step 1: No numeric estimate found where the variable label is phone/SM-specific (no social media hours, texting, video chat, SMAQ, MPIQ, or any named platform as IV or DV). The only screen-related outcome is the Youth Screen Time (STQ) and Parent Screentime Questionnaire (PSQ), both of which capture total/aggregate visual media time (TV, video games, computer, phone combined)."
208,Social Media Use and Alcohol Sipping in Early Adolescents: A Prospective Cohort Study.,2024,10.1080/10826084.2024.2310501,INCLUDE,,"Step 1 hit: ""social media time, hours (Year 1)"" as IV yields RR=1.31 (95% CI 1.20-1.43, p<0.001) for alcohol sipping (Year 3), a substance-use individual-trait outcome (Table 2, Model 1). Phone/SM-specific variable directly paired with individual-trait outcome."
215,Independent and Joint Prospective Associations of Screen Time and Sleep Disturbance with Body Mass Index and Waist Circumference Among U.S. Adolescents.,2025,10.1089/chi.2025.0022,INCLUDE,,"Step 1 hit: The paper reports separate analyses of screen time subtypes including 'socializing (texting, video chatting, and social media)' vs. BMI and WC (Supplementary Tables S6 and S7). The 'socializing' subtype is composed exclusively of phone/SM/digital-socializing items (texting + video chatting + social media)."
234,"Prospective associations between sleep, sensation-seeking, and mature screen usage in early adolescents: findings from the Adolescent Brain Cognitive Development study.",2025,10.1093/sleep/zsae234,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable (time on phone, time on SM, named platform, texting, video chat, app use, MPIQ, SMAQ, etc.) appears as IV or DV with its own numeric coefficient anywhere in the paper. The outcomes are mature-rated video game use and R-rated movie watching. Step 2 not reached."
238,"Preliminary findings on caffeine intake, screen time, social factors, and psychological well-being: their impact on chronotype and sleep health in Hispanic adolescents",2025,10.1093/sleepadvances/zpaf019,EXCLUDE,FT-EC2,"Step 1: No numeric estimate exists in any results location (Table 2, Table 3, SEM, supplementary) where a phone/SM-specific variable label (time on SM, time on phone, texting, named platform, etc.) is paired with an individual-trait outcome."
239,"Radiofrequency electromagnetic fields exposure, screen time and cognitive function in children and adolescents at 9-18 years old",2019,10.1097/01.ee9.0000606160.27107.76,EXCLUDE,FT-EC1,"Methods section states: ""Cross-sectional study in children of 9-11 years old (n=2,952) and adolescents of 17-18 years old (n=261), from the Dutch ABCD Study and the Spanish INMA Project."" The Dutch ABCD Study (Amsterdam Born Children and their Development) is explicitly excluded by FT-IC1; this is not the U.S. NIH-funded ABCD Study."
248,What We Know About Screen Time and Social Media in Early Adolescence: A Review of Findings from the Adolescent Brain Cognitive Development Study,2025,10.1097/MOP.0000000000001462,EXCLUDE,FT-EC3,Paper is a narrative review. Title states 'A Review of Findings from the Adolescent Brain Cognitive Development (ABCD) Study'; abstract states 'Purpose of review: To review recent literature based on Adolescent Brain and Cognitive Development Study data.' The paper synthesizes results from ~45 previously published studies (refs 2-44) but reports no original empirical analysis of ABCD data itself.
283,Confirmatory Factor Analysis on Mental Health Status using ABCD Cohort,2021,10.1109/bibm52615.2021.9669378,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific estimate found anywhere in the paper. The sole screen variable is 'Recreational Screen Time from the ABCD Youth Screen Time Survey,' described in Methods as 'number of hours performing screen-based activities (e.g., watching television, video games)' -- a composite that explicitly includes TV and video games."
287,"Social media use, smoking expectancies, and nicotine experimentation in early adolescents: A prospective cohort study.",2026,10.1111/ajad.70135,INCLUDE,,"Step 1 hit: social media time (hours per day) is a phone/SM-specific variable with explicit numeric estimates paired with nicotine experimentation (substance use, an individual-trait outcome). Table 2: direct effect B=0.138 (95% CI 0.081-0.196, p<.001) in the positive-expectancy model and B=0.153 (95% CI 0.100-0.206, p<.001) in the negative-expectancy model."
289,Parental psychological problems were associated with higher screen time and the use of mature-rated media in children.,2022,10.1111/apa.16253,INCLUDE,,"Step 1: Social media (minutes/day) is analyzed separately from TV, videos, and games in Table 3 with its own coefficient for parental externalising (coeff=2.17, 95% CI -2.25, 6.59), internalising (coeff=0.01, 95% CI -3.80, 3.77), and total problems. The social media variable (visiting social networking sites such as Twitter or Instagram, texting, video chat) is a named SM/phone-specific measure."
290,Family conflict and less parental monitoring were associated with greater screen time in early adolescence.,2024,10.1111/apa.17349,EXCLUDE,FT-EC7,"All three EC7 conditions hold: (a) longitudinal design (baseline predictors, outcomes at Year 1 and Year 2 follow-up); (b) screen time including social media is the DV in every analysis; (c) no analysis anywhere in the paper uses social media or screen time as IV. Predictors are parental monitoring and family conflict (not SM)."
291,Problematic smartphone use: What can teenagers and parents do to reduce use?,2024,10.1111/apa.17365,EXCLUDE,FT-EC1,"This perspective article analyzes data from 657 16- to 18-year-olds from five schools in England (Carter et al. 2024 UK study) and a prior survey of 18- to 24-year-olds. The ABCD Study is cited only in the discussion as a reference (Bagot et al. 2022, ref 7) to contextualize smartphone use patterns, but no ABCD data are analyzed by the authors of this paper."
292,Cyberbullying Victimisation Was Associated With Greater Manic Symptoms in Early Adolescence: A Prospective Cohort Study.,2025,10.1111/apa.70051,EXCLUDE,FT-EC2,Step 1: No phone/SM-specific variable has its own coefficient anywhere in the paper. Total screen time (hours/day) appears only as a covariate in adjusted models -- it is not an IV or DV with a reported coefficient for the SM<->outcome relationship (fails binding clarification: SM as covariate-only). The exposure variables are cyberbullying victimisation (lifetime and past 12-month yes/no).
295,"Extracurricular Activities, Screen Media Activity, and Sleep May Be Modifiable Factors Related to Children's Cognitive Functioning: Evidence From the ABCD Study",2021,10.1111/cdev.13578,INCLUDE,,"Step 1 hit: Follow-up LME analyses in the Results section report separate F-statistics for individual screen-time modalities against fluid cognitive functioning (FCF): social media use F(1,9662)=6.79, p<.01; time spent texting F(1,9666)=7.99, p<.005; video chatting F(1,9666)=6.81, p<.01. These are phone/SM-specific variables paired with FCF (a cognitive/neural individual-trait outcome)."
302,Contemporary screen time usage among children 9-10-years-old is associated with higher body mass index percentile at 1-year follow-up: A prospective cohort study.,2021,10.1111/ijpo.12827,INCLUDE,,"Step 1 hit: Table 2 reports per-modality B coefficients against BMI percentile: texting B=0.92 (95% CI 0.29-1.55, p=.004); video chat B=0.72 (95% CI 0.09-1.36, p=.025); social networking B=0.67 (95% CI -0.07-1.41, p=.075). Texting and video chat are phone/SM-specific variables paired with BMI percentile (a biological/physical-health individual-trait outcome). Step 1 satisfied; stop."
303,Multi-level Predictors of Depression Symptoms in the Adolescent Brain Cognitive Development (ABCD) Study,2022,10.1111/jcpp.13608,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific estimate (e.g., time on phone, time on SM, named platform, texting, video chat) with its own coefficient appears anywhere in the paper. The only screen-time variable is 'Weekend daily screen time (hours)' -- a single aggregate score with no per-modality breakout."
304,Contemporary screen time modalities and disruptive behavior disorders in children: a prospective cohort study.,2023,10.1111/jcpp.13673,INCLUDE,,"Step 1 hit: Table 2 reports adjusted PR for ""Social networking"" = 1.62 (95% CI 1.39-1.87, p<.001) predicting conduct disorder (individual-trait behavioral health outcome). Table 3 reports adjusted PR for ""Video chat"" = 1.21 (95% CI 1.06-1.37, p<.001) and ""Texting"" = 1.19 (95% CI 1.07-1.33, p<.001) predicting oppositional defiant disorder."
305,"Sexual and gender minority identity, peer victimization, and suicidality in adolescents: A mediation study using the ABCD Study",2025,10.1111/jcpp.14155,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable (phone time, SM use time, named platform, texting frequency, etc.) appears anywhere in the paper with its own numeric estimate. The exposure is SGM identity (individual-trait identity variable); the mediators are peer victimization (overt, relational, reputational) and cyber victimization; the outcome is suicidality."
306,Trajectories of psychotic-like experiences in youth and associations with lifestyle factors,2026,10.1111/jcpp.14179,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific numeric estimate found. The only screen time variable is a total composite from the 14-item self-report Screen Time Questionnaire (Sharif et al., 2010) measuring 'total amount of time spent using screens' as a weighted weekly summary score -- no phone/SM-specific estimate reported."
309,Bidirectional associations of problematic social media use and problematic gaming with mental health difficulties and strengths in adolescents: Sex and social support ...,,10.1111/jora.70076,EXCLUDE,FT-EC1,"The sample is 645 Dutch adolescents from the Amsterdam Born Children and their Development (ABCD) cohort study (Van Eijsden et al., 2010), a Dutch longitudinal cohort started in 2003-2004. This is NOT the U.S. NIH-funded Adolescent Brain Cognitive Development Study."
310,Associations between social media and crystallized and fluid performance trajectories in early adolescence.,2025,10.1111/jora.70125,INCLUDE,,"Step 1 hit: social media hours (time on social networking sites, hours/day, self-reported) is a named SM variable. Numeric slope-slope path estimates reported: s_sm -> s_cryst: beta = -.36, p < .001; s_sm -> s_flanker: beta = -.09, p = .031; s_sm -> s_pattern: beta = .11, p = .001 (Table 3)."
314,Neural Sensitivity to Social Media Use: Implications for Sleep Duration in Adolescents,2026,10.1111/jsr.70325,INCLUDE,,"Step 1 hit: social media use (self-reported daily hours via ABCD Screen Time Questionnaire, weighted average of weekday and weekend SM use) is a named SM-specific variable that appears as IV predicting sleep duration (individual-trait health outcome) with a reported estimate: chi-squared = 7.76, p = 0.016, and as DV predicted by sleep duration (chi-squared = 6.72, p = 0.021)."
