candidate_id,row_id,doi,title,authors,journal,year,matched_keywords,match_location,inclusion_rationale,final_decision,coder,date_coded,notes
79,1107,10.1016/j.jadohealth.2021.11.023,The Pandemic's Toll on Young Adolescents: Prevention and Intervention Targets to Preserve Their Mental Health.,Kiss O; Alzueta E; Yuksel D; Pohl KM; de Zambotti M; Műller-Oehring EM; Prouty D; Durley I; Pelham WE; McCabe CJ; Gonzalez MR; Brown SA; Wade NE; Marshall AT; Sowell ER; Breslin FJ; Lisdahl KM; Dick AS; Sheth CS; McCandliss BD; Guillaume M; Van Rinsveld AM; Dowling GJ; Tapert SF; Baker FC,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2022,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
80,1125,10.1001/jamapediatrics.2021.4334,Screen Time Use Among US Adolescents During the COVID-19 Pandemic: Findings From the Adolescent Brain Cognitive Development (ABCD) Study.,Nagata JM; Cortez CA; Cattle CJ; Ganson KT; Iyer P; Bibbins-Domingo K; Baker FC,JAMA pediatrics,2022,"screen time, digital media, media use",both,"both match: screen time, digital media, media use",INCLUDE,AI,2026-03-24,
81,1133,10.1016/j.acap.2021.12.008,Parent-Adolescent Discrepancies in Adolescent Recreational Screen Time Reporting During the Coronavirus Disease 2019 Pandemic.,Nagata JM; Cortez CA; Iyer P; Ganson KT; Chu J; Conroy AA,Academic pediatrics,2021,"screen time, social media, gaming, texting, digital media, screen use, media use",both,"both match: screen time, social media, gaming, texting, digital media, screen use, media use",INCLUDE,AI,2026-03-24,
82,1171,10.2196/29426,Passive Sensing of Preteens' Smartphone Use: An Adolescent Brain Cognitive Development (ABCD) Cohort Substudy.,Wade NE; Ortigara JM; Sullivan RM; Tomko RL; Breslin FJ; Baker FC; Fuemmeler BF; Delrahim Howlett K; Lisdahl KM; Marshall AT; Mason MJ; Neale MC; Squeglia LM; Wolff-Hughes DL; Tapert SF; Bagot KS,JMIR mental health,2021,"social media, smartphone, gaming, screen use",both,"both match: social media, smartphone, gaming, screen use",INCLUDE,AI,2026-03-24,
83,1190,10.1371/journal.pone.0256591,"Screen time and early adolescent mental health, academic, and social outcomes in 9- and 10- year old children: Utilizing the Adolescent Brain Cognitive Development ℠ (ABCD) Study.",Paulich KN; Ross JM; Lessem JM; Hewitt JK,PloS one,2021,"screen time, media use",both,"both match: screen time, media use",INCLUDE,AI,2026-03-24,
84,1196,10.1016/j.jpeds.2021.08.077,Sociodemographic Correlates of Contemporary Screen Time Use among 9- and 10-Year-Old Children.,Nagata JM; Ganson KT; Iyer P; Chu J; Baker FC; Pettee Gabriel K; Garber AK; Murray SB; Bibbins-Domingo K,The Journal of pediatrics,2021,"screen time, video game, texting, screen use, television, media use",both,"both match: screen time, video game, texting, screen use, television, media use",INCLUDE,AI,2026-03-24,
85,1223,10.1111/ijpo.12827,Contemporary screen time usage among children 9-10-years-old is associated with higher body mass index percentile at 1-year follow-up: A prospective cohort study.,Nagata JM; Iyer P; Chu J; Baker FC; Gabriel KP; Garber AK; Murray SB; Bibbins-Domingo K; Ganson KT,Pediatric obesity,2021,"screen time, video game, texting",both,"both match: screen time, video game, texting",INCLUDE,AI,2026-03-24,
86,1271,10.1016/j.bpsc.2021.02.013,Identification and Validation of Distinct Latent Neurodevelopmental Profiles in the Adolescent Brain and Cognitive Development Study.,Lichenstein SD; Roos C; Kohler R; Kiluk B; Carroll KM; Worhunsky PD; Witkiewitz K; Yip SW,Biological psychiatry. Cognitive neuroscience and neuroimaging,2021,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
87,1274,10.1002/eat.23489,Contemporary screen time modalities among children 9-10 years old and binge-eating disorder at one-year follow-up: A prospective cohort study.,Nagata JM; Iyer P; Chu J; Baker FC; Pettee Gabriel K; Garber AK; Murray SB; Bibbins-Domingo K; Ganson KT,The International journal of eating disorders,2021,"screen time, texting, television",both,"both match: screen time, texting, television",INCLUDE,AI,2026-03-24,
88,1294,10.3390/ijerph18020699,Typologies of Family Functioning and 24-h Movement Behaviors.,Guerrero MD; Barnes JD; Tremblay MS; Pulkki-Råback L,International journal of environmental research and public health,2021,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
89,1311,10.3390/info11110538,American Children's Screen Time: Diminished Returns of Household Income in Black Families.,Assari S,Information (Basel),2020,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
90,1324,10.1016/j.jadohealth.2020.09.003,24-Hour Movement Behaviors and Internalizing and Externalizing Behaviors Among Youth.,Sampasa-Kanyinga H; Colman I; Goldfield GS; Janssen I; Wang J; Tremblay MS; Barnes JD; Walsh JJ; Chaput JP,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2020,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
91,1331,10.1007/s10802-020-00703-x,Unpacking Associations between Mood Symptoms and Screen Time in Preadolescents: a Network Analysis.,Lin SY; Eaton NR; Schleider JL,Journal of abnormal child psychology,2020,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
92,1339,10.1016/j.sleh.2020.07.002,Screen media use and sleep disturbance symptom severity in children.,Hisler GC; Hasler BP; Franzen PL; Clark DB; Twenge JM,Sleep health,2020,"social media, video game, texting, screen use, media use",both,"both match: social media, video game, texting, screen use, media use",INCLUDE,AI,2026-03-24,
93,1379,10.1016/S2215-0366(20)30049-3,Risk and protective factors for childhood suicidality: a US population-based study.,Janiri D; Doucet GE; Pompili M; Sani G; Luna B; Brent DA; Frangou S,The lancet. Psychiatry,2020,screen use,abstract,abstract match: screen use,INCLUDE,AI,2026-03-24,
94,1382,10.1016/j.jadohealth.2019.12.005,Sleep Disturbance Predicts Depression Symptoms in Early Adolescence: Initial Findings From the Adolescent Brain Cognitive Development Study.,Goldstone A; Javitz HS; Claudatos SA; Buysse DJ; Hasler BP; de Zambotti M; Clark DB; Franzen PL; Prouty DE; Colrain IM; Baker FC,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2020,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
95,1392,10.1007/s10578-019-00892-7,Differential Relationships of Child Anxiety and Depression to Child Report and Parent Report of Electronic Media Use.,Fors PQ; Barch DM,Child psychiatry and human development,2019,"gaming, media use",both,"both match: gaming, media use",INCLUDE,AI,2026-03-24,
96,1394,10.1186/s12966-019-0862-x,Screen time and problem behaviors in children: exploring the mediating role of sleep duration.,Guerrero MD; Barnes JD; Chaput JP; Tremblay MS,The international journal of behavioral nutrition and physical activity,2019,"screen time, social media, video game, television",both,"both match: screen time, social media, video game, television",INCLUDE,AI,2026-03-24,
97,1403,10.1542/peds.2019-0187,24-Hour Movement Behaviors and Impulsivity.,Guerrero MD; Barnes JD; Walsh JJ; Chaput JP; Tremblay MS; Goldfield GS,Pediatrics,2019,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
98,1405,10.1017/S0033291719001545,"Demographic, psychological, behavioral, and cognitive correlates of BMI in youth: Findings from the Adolescent Brain Cognitive Development (ABCD) study.",Gray JC; Schvey NA; Tanofsky-Kraff M,Psychological medicine,2019,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
99,1419,10.1016/j.neuroimage.2018.10.040,Screen media activity and brain structure in youth: Evidence for diverse structural correlation networks from the ABCD study.,Paulus MP; Squeglia LM; Bagot K; Jacobus J; Kuplicki R; Breslin FJ; Bodurka J; Morris AS; Thompson WK; Bartsch H; Tapert SF,NeuroImage,2018,"social media, video game, television",abstract,"abstract match: social media, video game, television",INCLUDE,AI,2026-03-24,
100,1420,10.1016/S2352-4642(18)30278-5,Associations between 24 hour movement behaviours and global cognition in US children: a cross-sectional observational study.,Walsh JJ; Barnes JD; Cameron JD; Goldfield GS; Chaput JP; Gunnell KE; Ledoux AA; Zemek RL; Tremblay MS,The Lancet. Child & adolescent health,2018,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
101,1428,10.1016/j.dcn.2018.03.008,"Current, future and potential use of mobile and wearable technologies and social media data in the ABCD study to increase understanding of contributors to child health.",Bagot KS; Matthews SA; Mason M; Squeglia LM; Fowler J; Gray K; Herting M; May A; Colrain I; Godino J; Tapert S; Brown S; Patrick K,Developmental cognitive neuroscience,2018,social media,title,title match: social media,INCLUDE,AI,2026-03-24,
